"","Task","Billable","Start.date","Start.time","End.date","End.time","Duration","Tags","Amount...","Start.datetime","End.datetime","tags"
"118",NA,"Yes","2023-02-08","08:30:00","2023-02-08","10:00:00",90,"Code,R Studio",NA,2023-02-08 08:30:00,2023-02-08 10:00:00,"Data Explore/Visualisation"
"119",NA,"Yes","2023-02-08","14:30:00","2023-02-08","15:00:00",30,"Emails",NA,2023-02-08 14:30:00,2023-02-08 15:00:00,"Prod Manage"
"120",NA,"Yes","2023-02-09","08:00:00","2023-02-09","08:30:00",30,"Admin,Emails",NA,2023-02-09 08:00:00,2023-02-09 08:30:00,"Proj Manage"
"121",NA,"Yes","2023-02-09","08:00:00","2023-02-09","08:30:00",30,"Admin,Emails",NA,2023-02-09 08:00:00,2023-02-09 08:30:00,"Prod Manage"
"122",NA,"Yes","2023-02-09","10:00:00","2023-02-09","10:15:00",15,"Meetings",NA,2023-02-09 10:00:00,2023-02-09 10:15:00,"Prod Manage"
"123",NA,"Yes","2023-02-09","10:15:00","2023-02-09","10:45:00",30,"Data management and storage",NA,2023-02-09 10:15:00,2023-02-09 10:45:00,"Data Move/Store"
"124",NA,"Yes","2023-02-09","11:30:00","2023-02-09","12:00:00",30,"Project Management",NA,2023-02-09 11:30:00,2023-02-09 12:00:00,"Proj Manage"
"125",NA,"Yes","2023-02-09","12:00:00","2023-02-09","12:15:00",15,"Data management and storage",NA,2023-02-09 12:00:00,2023-02-09 12:15:00,"Data Move/Store"
"126",NA,"Yes","2023-02-09","12:15:00","2023-02-09","12:45:00",30,"Business Strategy",NA,2023-02-09 12:15:00,2023-02-09 12:45:00,"Prod Manage"
"127",NA,"Yes","2023-02-10","08:00:00","2023-02-10","09:30:00",90,"Code,R Studio",NA,2023-02-10 08:00:00,2023-02-10 09:30:00,"AI / Deep Learning"
"128",NA,"Yes","2023-02-10","08:00:00","2023-02-10","09:30:00",90,"Code,R Studio",NA,2023-02-10 08:00:00,2023-02-10 09:30:00,"Data Explore/Visualisation"
